,_id,product,specifications
20,66f387b6ed22534aedbf779d,Safe,"• Top open safe
• Size (w*d*h) : 410 * 350 * 150 mm
Feature:
• Motorized opening/locking by 2 bolts: 20mm dia
• 3 Ways to open the safe
-Private code(3~6 digits)
- Master code
- Key optional
• Safe will hold 15 min in case of 3 times wrong try
battery operated (ac option)
• Security lock-out sytem
• Audit trail of 1000 past events
• Mechanical key override available
• Available in Black and White"
21,66f387b6ed22534aedbf77a7,Iron Board,"• Mesh top design allows iron steam easy penetrate
• Variable height adjustment up to 85 cm
• 28mm big tube ensure strong structure
• Anti-fire cover with 10mm felt padding
• Foldable flat save storage space
• With anti-theft iron rest
• Size: 1190x406x820mm
• Available color : Brown / Black/Gray"
22,66f387b6ed22534aedbf77cd,Anti Skid Mat,"• Reliable slip-resistance
• With suction cups
• Anti-bacterial treatment
• Mould and mildew resistance
• Size: 35 x 55 cm"
23,66f387b6ed22534aedbf77cf,Bath Tub Caddy,"• 304# Stainless steel
• Extendable bathtub caddy"
24,66f387b6ed22534aedbf77d4,TROUSER HANGERS 20 MM,"MATERIAL: WOODEN 
TROUSER HANGERS
20  MM  THICKNESS"
25,66f387b6ed22534aedbf7767,Torch,"• Mini wall mounted torch
• Bulb type : 6 led’s
• Wall-mounted holder for automatic switch-off
• Operates on 3 x aaa battery
• With fluorescent label
• Color options - Black / Silver"
26,66f387b6ed22534aedbf77a5,Iron Board,"• Made of heavy-duty construction
• Steel mesh top
• Automatic locking mechanism when folded
• With iron rest
• Multi-welded t-leg construction
• Height adjustment
• Pre-treated pad in one-piece 10mm
• Thickness for scorch resistance.
• Size : 1100*340*820/1270mm,
• Available color : Brown / Black/ Gray"
27,66f387b6ed22534aedbf77c2,Personal Scale,"• Stainless steel with glass
• Brushed stainless steel finish
• Large, easy to read 1.2” Lcd display
• 180KG/400LB CAPACITY
• Four digit readout in 0.1 Kg or 0.2lb
• Unit : kg / lb/ st
• Powered by lithium battery
• Size : 300 * 300 * 22 mm"
28,66f387b6ed22534aedbf77ca,Waste Bins,"• Elegant pedal bin
• With soft close & pp liner
• Capacity : 5 ltr
• Finish : matt
• Color : SS / Black"
29,66f387b6ed22534aedbf77da,ANTI THEFT TROUSER HANGER 12 MM,"MATERIAL: WOODEN 
TROUSER HANGERS 
12  MM  THICKNESS"
30,66f387b6ed22534aedbf77dd,"WOODEN COAT BRUSH 15""","WOODEN COAT BRUSH 
SIZE  : 15"""
31,66f387b6ed22534aedbf7763,Alarm Clock,"• Stainless steel matt finish
• Round shape
• With night light"
32,66f387b6ed22534aedbf7765,Torch,"• Specially designed emergency torch
• Auto-on when removed from holder
• Auto-off when placed in holder
• Energy saving led lights (13 led)
• Operates on 3 x aa cells
• Non-slip handle
• Color options - Black / Silver"
33,66f387b6ed22534aedbf776f,Luggage Rack,"• Solid rubber wood
• Water & pest resistant
• Foldable
• Wood color as per client
request with two layer
• Size : 650*430*550mm"
34,66f387b6ed22534aedbf7772,Coat  Hanger Stand,"• 304# Stainless steel
frame with solid base
• Solid rubber wood
clothes rack
• Size : 470*150*1240mm"
35,66f387b6ed22534aedbf777c,Kettle,"• 220-240v, 50/60hz, 1000-1200w
• 360° Cordless base kettle
• Capacity: 1.0 Ltr
• Auto lid-opening design
• Water level indicator
• Boil dry protection
• Automatic shut off
• With uk strix thermo control
• With concealed heating element
• Anti-slip feet design
• Color : Black / White"
36,66f387b6ed22534aedbf7795,Ice Bucket,"• Stainless steel
• Double wall
• Capacity 1.0 Ltr
• With ice tong
• Finish : Matt / Mirror"
37,66f387b6ed22534aedbf77bc,Hair Dryer,"• 220-240v 1600w 50-60hz
• Cool shot function
• Foldable handle
• Removable end cap for easy cleaning
• Hang up hook
• 2 Speed and 3 heat settings"
38,66f387b6ed22534aedbf77d7,SATIN HANGERS,SATIN HANGERS
39,66f387b6ed22534aedbf77d8,BATHROBE HANGER 20 MM,BATHROBE HANGER 20 MM
40,66f387b6ed22534aedbf7771,Coat  Hanger Stand,"• 304# Stainless steel frame
• Beachwood
• Size : 275 * 350* 1175 mm"
41,66f387b6ed22534aedbf7766,Torch,"• Use krypton bulb for 70% brighter
• Blinking led indicator showing
its position and Batteries power automatic
on when pull out from
• Base bracket
• Push back when not in use
• Color options - Black/ Silver"
42,66f387b6ed22534aedbf778b,Kettle,"• 1.2l, 220-240v, 1000-1200w, 50/60hz
• Material: inside stainless steel 304, outside is color stainless
steel, middle is plastic.
• Cordless electric kettle: separate base move kettle
conveniently. 360 °Rotation design.
• Two metal controller, double safety protection for chy boiling.
• Steam switch for automatic power off when water boiled.
• Concealed heating element, safety and easy cleaning.
• Uk strix conttoller
• Color - SS / Graphite/ Copper"
43,66f387b6ed22534aedbf7796,Ice Bucket,"• Stainless steel with
leatherette with ice tong
• Capacity : 1.6 Ltr"
44,66f387b6ed22534aedbf77a3,IRON,"• Color : black
• Fabric guide indicator
• Adjustable steam and spray self cleaning system.
Ceramic sole plate
• Auto shut off , anti calc & anti drip
• Dry i steam /spray/ burst function
• 220-240v-50hz
• Watts 2200w
• Auto off after 30 sec in horizontal, 8 min in
• Vertical positions
• 3mtr power cord
• Water tank capacity: 300ml"
45,66f387b6ed22534aedbf77ac,Shoe Tree,"• Wood with stainless steel ir-st002
• Sizes available as per request"
46,66f387b6ed22534aedbf77b1,Mirror,"• Wall mounted square mirror with led light
• Solid brass with chrome plated
• Double arm single side led mirror
• Size : 8”*8”
• Power : AC 110-260v, 4 x aa batteries,
• Rechargeable batteries
• Fold : 3x Magnification
• Light color : White / Warm White / Yellow"
47,66f387b6ed22534aedbf77be,Hair Dryer,"• 1800w | 220-240v | 50/60hz
• Low noice
• Speed: 16m/s max
• Two speed & three temperature
• Micro switch safety button for over-heating
protection
• Cool shot button"
48,66f387b6ed22534aedbf77d1,Bath Tub Pillow,• PU material
49,66f387b6ed22534aedbf77d5,SKIRT HANGERS CLIP 12 MM,"MATERIAL: WOODEN 
SKIRT HANGERS
12  MM THICKNESS"
50,66f387b6ed22534aedbf7783,Kettle,"• 304# Stainless steel brushed surface
• 360° Cordless base
• Concealed stainless steel heating element
• Wide mouth for easy cleaning
• With uk strix thermo control
• Automatically switch off with power indicator light
• Boil dry and overheat protection
• Safety lock lid
• Removable water filter
• 220~240v 50/60hz, 900w
• Capacity : 0.6 Ltr"
51,66f387b6ed22534aedbf77b6,Mirror,"• Size : 8”*8” wall mounted square mirror
• With led light, hardwired connection
• 3x magnification
• Light: White light
• Matt Black
• Double square arms, rectangle base"
52,66f387b6ed22534aedbf77c0,Hair Dryer Bag,Material : Canvas / Velvet
